name,identifier,game_dim_a,game_dim_b,game_dim_c,game_source,fleetyards_length,fleetyards_beam,fleetyards_height,fleetyards_source,page_length,page_length_note,model_bbox_extent,model_bbox_note,conflict,gap
100i,ORIG_100i,19,12,5,LOADOUT_SHIPS dim (game data),19.3,11,4,sc-ships/index.json (Fleetyards),19,"identical to game dim[0] - same source, not a second one",11.431 x 2.729 x 17.485,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 19 vs Fleetyards 19.3 - recorded, not resolved",
125a,ORIG_125a,19,12,5,LOADOUT_SHIPS dim (game data),19.3,11,4,sc-ships/index.json (Fleetyards),19,"identical to game dim[0] - same source, not a second one",11.431 x 2.729 x 17.485,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 19 vs Fleetyards 19.3 - recorded, not resolved",
135c,ORIG_135c,19,12,5,LOADOUT_SHIPS dim (game data),19.3,11,4,sc-ships/index.json (Fleetyards),19,"identical to game dim[0] - same source, not a second one",11.431 x 2.726 x 17.485,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 19 vs Fleetyards 19.3 - recorded, not resolved",
300i,ORIG_300i,27,17,8,LOADOUT_SHIPS dim (game data),27,17,8,sc-ships/index.json (Fleetyards),27,"identical to game dim[0] - same source, not a second one",16.304 x 5.524 x 24.843,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
315p,ORIG_315p,27,17,8,LOADOUT_SHIPS dim (game data),27,17,8,sc-ships/index.json (Fleetyards),27,"identical to game dim[0] - same source, not a second one",16.257 x 5.423 x 22.301,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
325a,ORIG_325a,27.5,17,8,LOADOUT_SHIPS dim (game data),27,17,8,sc-ships/index.json (Fleetyards),27.5,"identical to game dim[0] - same source, not a second one",16.065 x 5.389 x 23.026,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 27.5 vs Fleetyards 27 - recorded, not resolved",
350r,ORIG_350r,27,17,8,LOADOUT_SHIPS dim (game data),25,17,8,sc-ships/index.json (Fleetyards),27,"identical to game dim[0] - same source, not a second one",16.309 x 5.523 x 24.842,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 27 vs Fleetyards 25 - recorded, not resolved",
400i,ORIG_400i,56,32,12.5,LOADOUT_SHIPS dim (game data),60,32,12.5,sc-ships/index.json (Fleetyards),56,"identical to game dim[0] - same source, not a second one",31.636 x 10.134 x 59.225,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 56 vs Fleetyards 60 - recorded, not resolved",
600i Executive Edition,ORIG_600i_Executive_Edition,91.5,52,17,LOADOUT_SHIPS dim (game data),,,,,91.5,"identical to game dim[0] - same source, not a second one",91.5 x 17.556 x 52.155,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
600i Explorer,ORIG_600i,91.5,52,17,LOADOUT_SHIPS dim (game data),91.5,52,17,sc-ships/index.json (Fleetyards),91.5,"identical to game dim[0] - same source, not a second one",52.148 x 16.604 x 91.59,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
600i Touring,ORIG_600i_Touring,91.5,52,17,LOADOUT_SHIPS dim (game data),91.5,52,17,sc-ships/index.json (Fleetyards),91.5,"identical to game dim[0] - same source, not a second one",52.237 x 16.33 x 91.579,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
85X,ORIG_85X,14,13.5,4,LOADOUT_SHIPS dim (game data),13,10,2,sc-ships/index.json (Fleetyards),14,"identical to game dim[0] - same source, not a second one",14.0 x 2.711 x 13.51,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 14 vs Fleetyards 13 - recorded, not resolved",
890 Jump,ORIG_890Jump,210,80,45,LOADOUT_SHIPS dim (game data),205,71,40,sc-ships/index.json (Fleetyards),210,"identical to game dim[0] - same source, not a second one",71.081 x 37.162 x 205.528,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 210 vs Fleetyards 205 - recorded, not resolved",
A1 Spirit,CRUS_Spirit_A1,47.5,44,10,LOADOUT_SHIPS dim (game data),47.5,44,10,sc-ships/index.json (Fleetyards),47.5,"identical to game dim[0] - same source, not a second one",44.356 x 8.567 x 46.682,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
A2 Hercules Starlifter,CRUS_Starlifter_A2,94,70,23,LOADOUT_SHIPS dim (game data),,,,,94,"identical to game dim[0] - same source, not a second one",70.225 x 24.68 x 94.376,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
ATLS,ARGO_ATLS,3.2,1.6,1.6,LOADOUT_SHIPS dim (game data),1.8,2,2.8,sc-ships/index.json (Fleetyards),3.2,"identical to game dim[0] - same source, not a second one",1.761 x 2.858 x 2.03,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 3.2 vs Fleetyards 1.8 - recorded, not resolved",
ATLS GEO,ARGO_ATLS_GEO,3.2,1.6,1.6,LOADOUT_SHIPS dim (game data),1.8,2,2.8,sc-ships/index.json (Fleetyards),3.2,"identical to game dim[0] - same source, not a second one",1.761 x 2.905 x 2.629,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 3.2 vs Fleetyards 1.8 - recorded, not resolved",
ATLS GEO IKTI,ARGO_ATLS_GEO_IKTI,3.2,1.6,1.6,LOADOUT_SHIPS dim (game data),,,,,3.2,"identical to game dim[0] - same source, not a second one",1.761 x 2.858 x 2.03,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
ATLS IKTI,ARGO_ATLS_IKTI,3.2,1.6,1.6,LOADOUT_SHIPS dim (game data),,,,,3.2,"identical to game dim[0] - same source, not a second one",1.761 x 2.858 x 2.03,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
ATLS IKTI RAD,ARGO_ATLS_IKTI_ARGOS,3.2,1.6,1.6,LOADOUT_SHIPS dim (game data),,,,,3.2,"identical to game dim[0] - same source, not a second one",1.761 x 2.858 x 2.03,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Apollo Medivac,RSI_Apollo_Medivac,73,54,14,LOADOUT_SHIPS dim (game data),65,45,14,sc-ships/index.json (Fleetyards),73,"identical to game dim[0] - same source, not a second one",55.005 x 14.251 x 64.746,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 73 vs Fleetyards 65 - recorded, not resolved",
Apollo Triage,RSI_Apollo_Triage,73,54,14,LOADOUT_SHIPS dim (game data),65,45,14,sc-ships/index.json (Fleetyards),73,"identical to game dim[0] - same source, not a second one",55.005 x 14.251 x 64.747,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 73 vs Fleetyards 65 - recorded, not resolved",
Ares Inferno,CRUS_Starfighter_Inferno,30,27,6,LOADOUT_SHIPS dim (game data),27.2,30.2,5.5,sc-ships/index.json (Fleetyards),30,"identical to game dim[0] - same source, not a second one",29.763 x 5.412 x 26.326,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 30 vs Fleetyards 27.2 - recorded, not resolved",
Ares Ion,CRUS_Starfighter_Ion,30,27,6,LOADOUT_SHIPS dim (game data),27.2,30.2,5.5,sc-ships/index.json (Fleetyards),30,"identical to game dim[0] - same source, not a second one",29.763 x 5.408 x 26.65,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 30 vs Fleetyards 27.2 - recorded, not resolved",
Arrastra,(none),,,,,124,64,21,sc-ships/index.json (Fleetyards),,,,,,
Arrow,ANVL_Arrow,17.25,12.25,4.5,LOADOUT_SHIPS dim (game data),16,12,4,sc-ships/index.json (Fleetyards),17.25,"identical to game dim[0] - same source, not a second one",12.027 x 3.06 x 17.793,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 17.25 vs Fleetyards 16 - recorded, not resolved",
Asgard,ANVL_Asgard,48,38,12,LOADOUT_SHIPS dim (game data),48.7,34.1,15.5,sc-ships/index.json (Fleetyards),48,"identical to game dim[0] - same source, not a second one",33.878 x 13.332 x 48.558,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 48 vs Fleetyards 48.7 - recorded, not resolved",
Aurora CL,RSI_Aurora_GS_CL,19,8.75,4.5,LOADOUT_SHIPS dim (game data),19,8,4,sc-ships/index.json (Fleetyards),19,"identical to game dim[0] - same source, not a second one",8.217 x 4.355 x 18.522,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Aurora ES,RSI_Aurora_GS_ES,19,8.75,4.5,LOADOUT_SHIPS dim (game data),19,8.7,4.5,sc-ships/index.json (Fleetyards),19,"identical to game dim[0] - same source, not a second one",8.217 x 4.355 x 18.522,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
