name,manufacturer,identifier,why_no_model_from_the_front_page,proposed_local_match,edition_flag
Arrastra,Roberts Space Industries,(none),card carries no ClassName,"Arrastra.glb - unused file on disk, PROPOSED by exact name, not applied",
CSV-FM,Argo Astronautics,(none),card carries no ClassName,,
Crucible,Anvil Aerospace,(none),card carries no ClassName,"Crucible.glb - unused file on disk, PROPOSED by exact name, not applied",
E1 Spirit,Crusader Industries,(none),card carries no ClassName,"E1_Spirit.glb - unused file on disk, PROPOSED by exact name, not applied",
Endeavor,MISC,(none),card carries no ClassName,"Endeavor.glb - unused file on disk, PROPOSED by exact name, not applied",
Expanse,MISC,(none),card carries no ClassName,"Expanse.glb - unused file on disk, PROPOSED by exact name, not applied",
F7C-M Hornet Heartseeker Mk II,Anvil Aerospace,ANVL_Hornet_F7CM_Mk2_Heartseeker,ClassName ANVL_Hornet_F7CM_Mk2_Heartseeker maps to no model in LOADOUT_MODEL,,
F7C-M Super Hornet Heartseeker Mk I,Anvil Aerospace,(none),card carries no ClassName,"F7C-M_Super_Hornet_Heartseeker_Mk_I.glb - unused file on disk, PROPOSED by exact name, not applied",
G12,Origin Jumpworks,(none),card carries no ClassName,"G12.glb - unused file on disk, PROPOSED by exact name, not applied",
G12a,Origin Jumpworks,(none),card carries no ClassName,"G12a.glb - unused file on disk, PROPOSED by exact name, not applied",
G12r,Origin Jumpworks,(none),card carries no ClassName,"G12r.glb - unused file on disk, PROPOSED by exact name, not applied",
Galaxy,Roberts Space Industries,(none),card carries no ClassName,"Galaxy.glb - unused file on disk, PROPOSED by exact name, not applied",
Genesis Starliner,Crusader Industries,(none),card carries no ClassName,,
Gladius Dunlevy,Aegis Dynamics,AEGS_Gladius_Dunlevy,ClassName AEGS_Gladius_Dunlevy maps to no model in LOADOUT_MODEL,,
Hull D,MISC,(none),card carries no ClassName,"Hull_D.glb - unused file on disk, PROPOSED by exact name, not applied",
Hull E,MISC,(none),card carries no ClassName,"Hull_E.glb - unused file on disk, PROPOSED by exact name, not applied",
Javelin,Aegis Dynamics,(none),"card carries no ClassName; a model IS mapped on the ship page under AEGS_Javelin - unreachable from the card, not absent",,
Kraken,Drake Interplanetary,(none),card carries no ClassName,"Kraken.glb - unused file on disk, PROPOSED by exact name, not applied",
Kraken Privateer,Drake Interplanetary,(none),card carries no ClassName,"Kraken_Privateer.glb - unused file on disk, PROPOSED by exact name, not applied",
Legionnaire,Anvil Aerospace,(none),card carries no ClassName,"Legionnaire.glb - unused file on disk, PROPOSED by exact name, not applied",
Liberator,Anvil Aerospace,(none),card carries no ClassName,"Liberator.glb - unused file on disk, PROPOSED by exact name, not applied",
MOTH,Argo Astronautics,(none),"card carries no ClassName; a model IS mapped on the ship page under ARGO_MOTH - unreachable from the card, not absent",,
Merchantman,Banu (Souli),(none),card carries no ClassName,"Merchantman.glb - unused file on disk, PROPOSED by exact name, not applied",
Mustang Alpha Vindicator,Consolidated Outland,(none),card carries no ClassName,"Mustang_Alpha_Vindicator.glb - unused file on disk, PROPOSED by exact name, not applied",
Nautilus,Aegis Dynamics,(none),card carries no ClassName,"Nautilus.glb - unused file on disk, PROPOSED by exact name, not applied",
Odin,Anvil Aerospace,(none),card carries no ClassName,"Odin.glb - unused file on disk, PROPOSED by exact name, not applied",
Odyssey,MISC,(none),card carries no ClassName,"Odyssey.glb - unused file on disk, PROPOSED by exact name, not applied",
Orion,Roberts Space Industries,(none),card carries no ClassName,"Orion.glb - unused file on disk, PROPOSED by exact name, not applied",
Pioneer,Consolidated Outland,(none),card carries no ClassName,"Pioneer.glb - unused file on disk, PROPOSED by exact name, not applied",
RAPTOR,MISC,(none),card carries no ClassName,,
Ranger CV,Tumbril Land Systems,(none),card carries no ClassName,"Ranger_CV.glb - unused file on disk, PROPOSED by exact name, not applied",
Ranger RC,Tumbril Land Systems,(none),card carries no ClassName,"Ranger_RC.glb - unused file on disk, PROPOSED by exact name, not applied",
Ranger TR,Tumbril Land Systems,(none),card carries no ClassName,"Ranger_TR.glb - unused file on disk, PROPOSED by exact name, not applied",
Starlancer BLD,MISC,(none),card carries no ClassName,,
Vulcan,Aegis Dynamics,(none),card carries no ClassName,"Vulcan.glb - unused file on disk, PROPOSED by exact name, not applied",
Zeus Mk II MR,Roberts Space Industries,(none),card carries no ClassName,"Zeus_Mk_II_MR.glb - unused file on disk, PROPOSED by exact name, not applied",
