name,manufacturer,data_row_id,classname_identifier,on_front_page,status,career,has_picture,model_file,length_m_on_page
100i,Origin Jumpworks,129,ORIG_100i,card,purchasable,Exploration,yes,100i.glb,19
125a,Origin Jumpworks,130,ORIG_125a,card,purchasable,Combat,yes,125a.glb,19
135c,Origin Jumpworks,131,ORIG_135c,card,purchasable,Transporter,yes,135c.glb,19
300i,Origin Jumpworks,132,ORIG_300i,card,purchasable,Exploration,yes,300i.glb,27
315p,Origin Jumpworks,133,ORIG_315p,card,purchasable,Exploration,yes,315p.glb,27
325a,Origin Jumpworks,134,ORIG_325a,card,purchasable,Combat,yes,325a.glb,27.5
350r,Origin Jumpworks,135,ORIG_350r,card,purchasable,Competition,yes,350r.glb,27
400i,Origin Jumpworks,136,ORIG_400i,card,purchasable,Exploration,yes,400i.glb,56
600i Executive Edition,Origin Jumpworks,233,ORIG_600i_Executive_Edition,card,pledge_only,Exploration,yes,600i_Executive_Edition.glb,91.5
600i Explorer,Origin Jumpworks,137,ORIG_600i,card,purchasable,Exploration,yes,600i_Explorer.glb,91.5
600i Touring,Origin Jumpworks,138,ORIG_600i_Touring,card,purchasable,Exploration,yes,600i_Touring.glb,91.5
85X,Origin Jumpworks,139,ORIG_85X,card,purchasable,Exploration,yes,85X.glb,14
890 Jump,Origin Jumpworks,140,ORIG_890Jump,card,purchasable,Exploration,yes,890_Jump.glb,210
A1 Spirit,Crusader Industries,61,CRUS_Spirit_A1,card,purchasable,Combat,yes,A1_Spirit.glb,47.5
A2 Hercules Starlifter,Crusader Industries,62,CRUS_Starlifter_A2,card,purchasable,Combat,yes,A2_Hercules.glb,94
ATLS,Argo Astronautics,44,ARGO_ATLS,card,purchasable,Ground,yes,ATLS.glb,3.2
ATLS GEO,Argo Astronautics,45,ARGO_ATLS_GEO,card,purchasable,Ground,yes,ATLS_GEO.glb,3.2
ATLS GEO IKTI,Argo Astronautics,234,ARGO_ATLS_GEO_IKTI,card,pledge_only,Ground,yes,ATLS.glb,3.2
ATLS IKTI,Argo Astronautics,235,ARGO_ATLS_IKTI,card,pledge_only,Ground,yes,ATLS.glb,3.2
ATLS IKTI RAD,Argo Astronautics,236,ARGO_ATLS_IKTI_ARGOS,card,pledge_only,Ground,yes,ATLS.glb,3.2
Apollo Medivac,Roberts Space Industries,145,RSI_Apollo_Medivac,card,purchasable,Support,yes,Apollo_Medivac.glb,73
Apollo Triage,Roberts Space Industries,146,RSI_Apollo_Triage,card,purchasable,Support,yes,Apollo_Triage.glb,73
Ares Inferno,Crusader Industries,63,CRUS_Starfighter_Inferno,card,purchasable,Combat,yes,Ares_Inferno.glb,30
Ares Ion,Crusader Industries,64,CRUS_Starfighter_Ion,card,purchasable,Combat,yes,Ares_Ion.glb,30
Arrastra,Roberts Space Industries,203,(none),card,pledge_only,,yes,,
Arrow,Anvil Aerospace,20,ANVL_Arrow,card,purchasable,Combat,yes,Arrow.glb,17.25
Asgard,Anvil Aerospace,21,ANVL_Asgard,card,purchasable,Combat,yes,Asgard.glb,48
Aurora CL,Roberts Space Industries,147,RSI_Aurora_GS_CL,card,purchasable,Transporter,yes,Aurora_CL.glb,19
Aurora ES,Roberts Space Industries,148,RSI_Aurora_GS_ES,card,purchasable,Multi-Role,yes,Aurora_ES.glb,19
Aurora LN,Roberts Space Industries,149,RSI_Aurora_GS_LN,card,purchasable,Combat,yes,Aurora_LN.glb,19
Aurora LX,Roberts Space Industries,150,RSI_Aurora_GS_LX,card,purchasable,Exploration,yes,Aurora_LX.glb,19
Aurora MR,Roberts Space Industries,151,RSI_Aurora_GS_MR,card,purchasable,Combat,yes,Aurora_MR.glb,19
Aurora Mk II,Roberts Space Industries,223,RSI_Aurora_Mk2,card,pledge_only,Multi-Role,yes,Aurora_Mk_II.glb,27.7
Aurora SE,Roberts Space Industries,210,RSI_Aurora_GS_SE,card,pledge_only,Combat,yes,Aurora_SE.glb,19
Avenger Stalker,Aegis Dynamics,1,AEGS_Avenger_Stalker,card,purchasable,Combat,yes,Avenger_Stalker.glb,20
Avenger Titan,Aegis Dynamics,2,AEGS_Avenger_Titan,card,purchasable,Transporter,yes,Avenger_Titan.glb,20
Avenger Titan Renegade,Aegis Dynamics,3,AEGS_Avenger_Titan_Renegade,card,purchasable,Transporter,yes,Avenger_Titan_Renegade.glb,20
Avenger Warlock,Aegis Dynamics,4,AEGS_Avenger_Warlock,card,purchasable,Combat,yes,Avenger_Warlock.glb,20
Ballista,Anvil Aerospace,22,ANVL_Ballista,card,purchasable,Combat,yes,Ballista.glb,17
Ballista Dunestalker,Anvil Aerospace,237,ANVL_Ballista_Dunestalker,card,pledge_only,Combat,yes,Ballista.glb,17
Ballista Snowblind,Anvil Aerospace,238,ANVL_Ballista_Snowblind,card,pledge_only,Combat,yes,Ballista.glb,17
Basher,Grey's Market,180,GLSN_Basher,card,pledge_only,Combat,yes,Basher.glb,13.7
Blade,Esperia,86,VNCL_Blade,card,purchasable,Combat,yes,Blade.glb,20.5
Buccaneer,Drake Interplanetary,70,DRAK_Buccaneer,card,purchasable,Combat,yes,Buccaneer.glb,16.75
C1 Spirit,Crusader Industries,65,CRUS_Spirit_C1,card,purchasable,Transporter,yes,C1_Spirit.glb,47.5
C2 Hercules Starlifter,Crusader Industries,66,CRUS_Starlifter_C2,card,purchasable,Transporter,yes,C2_Hercules.glb,94
C8 Pisces,Anvil Aerospace,23,ANVL_C8_Pisces,card,purchasable,Exploration,yes,C8_Pisces.glb,16
C8R Pisces Rescue,Anvil Aerospace,24,ANVL_C8R_Pisces,card,purchasable,Support,yes,C8R_Pisces.glb,16
C8X Pisces Expedition,Anvil Aerospace,25,ANVL_C8X_Pisces_Expedition,card,purchasable,Exploration,yes,C8X_Pisces_Expedition.glb,16
CSV-FM,Argo Astronautics,185,(none),card,pledge_only,,no,,
CSV-SM,Argo Astronautics,46,ARGO_CSV_Cargo,card,purchasable,Transporter,yes,CSV-SM.glb,8.75
Carrack,Anvil Aerospace,26,ANVL_Carrack,card,purchasable,Exploration,yes,Carrack.glb,126
Carrack Expedition,Anvil Aerospace,239,ANVL_Carrack_Expedition,card,pledge_only,Exploration,yes,Carrack_Expedition.glb,126
Caterpillar,Drake Interplanetary,71,DRAK_Caterpillar,card,purchasable,Transporter,yes,Caterpillar.glb,111.5
Centurion,Anvil Aerospace,27,ANVL_Centurion,card,purchasable,Combat,yes,Centurion.glb,17
Clipper,Drake Interplanetary,72,DRAK_Clipper,card,purchasable,Exploration,yes,Clipper.glb,26.5
Constellation Andromeda,Roberts Space Industries,152,RSI_Constellation_Andromeda,card,purchasable,Multi-Role,yes,Constellation_Andromeda.glb,63.5
Constellation Aquila,Roberts Space Industries,153,RSI_Constellation_Aquila,card,purchasable,Exploration,yes,Constellation_Aquila.glb,63.5
Constellation Phoenix,Roberts Space Industries,154,RSI_Constellation_Phoenix,card,purchasable,Exploration,yes,Constellation_Phoenix.glb,63.5
Constellation Phoenix Emerald,Roberts Space Industries,240,RSI_Constellation_Phoenix_Emerald,card,pledge_only,Exploration,yes,Constellation_Phoenix_Emerald.glb,63.5
Constellation Taurus,Roberts Space Industries,155,RSI_Constellation_Taurus,card,purchasable,Transporter,yes,Constellation_Taurus.glb,70
Corsair,Drake Interplanetary,73,DRAK_Corsair,card,purchasable,Exploration,yes,Corsair.glb,53
Crucible,Anvil Aerospace,191,(none),card,pledge_only,,yes,,
Cutlass Black,Drake Interplanetary,74,DRAK_Cutlass_Black,card,purchasable,Multi-Role,yes,Cutlass_Black.glb,37.5
Cutlass Blue,Drake Interplanetary,75,DRAK_Cutlass_Blue,card,purchasable,Combat,yes,Cutlass_Blue.glb,37.5
Cutlass Red,Drake Interplanetary,76,DRAK_Cutlass_Red,card,purchasable,Support,yes,Cutlass_Red.glb,37.5
Cutlass Steel,Drake Interplanetary,77,DRAK_Cutlass_Steel,card,purchasable,Combat,yes,Cutlass_Steel.glb,37.5
Cutter,Drake Interplanetary,78,DRAK_Cutter,card,purchasable,Exploration,yes,Cutter.glb,20
Cutter Rambler,Drake Interplanetary,79,DRAK_Cutter_Rambler,card,purchasable,Exploration,yes,Cutter_Rambler.glb,20
Cutter Scout,Drake Interplanetary,80,DRAK_Cutter_Scout,card,purchasable,Exploration,yes,Cutter_Scout.glb,20
Cyclone,Tumbril Land Systems,168,TMBL_Cyclone,card,purchasable,Combat,yes,Cyclone.glb,8.75
