name,career,official_role_verbatim,official_first_segment,career_equals_any_segment,list,rsi_url
100i,Exploration,Exploration / Starter / Pathfinder,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/origin-100/100i
125a,Combat,Combat / Light Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/origin-100/125a
135c,Transporter,Transporter / Light Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/origin-100/135c
300i,Exploration,Exploration / Luxury Touring,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/origin-300/300i
315p,Exploration,Exploration / Pathfinder,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/origin-300/315p
325a,Combat,Combat / Interceptor,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/origin-300/325a
350r,Competition,Competition / Racing,Competition,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/origin-300/350r
400i,Exploration,Exploration / Expedition,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/400i/400i
600i Executive Edition,Exploration,,,,NO ROLES ROW - not joined,
600i Explorer,Exploration,Exploration / Expedition,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/600i/600i-Explorer
600i Touring,Exploration,Exploration / Luxury Touring,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/600i/600i-Touring
85X,Exploration,Exploration / Touring,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/85x/85X
890 Jump,Exploration,Exploration / Luxury Touring,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/890-jump/890-Jump
A1 Spirit,Combat,Combat / Bomber,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/spirit/A1-Spirit
A2 Hercules Starlifter,Combat,,,,NO ROLES ROW - not joined,
ATLS,Ground,Ground / Cargo,Ground,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/atls/ATLS
ATLS GEO,Ground,Ground / Mining,Ground,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/atls/ATLS-GEO
ATLS GEO IKTI,Ground,,,,NO ROLES ROW - not joined,
ATLS IKTI,Ground,,,,NO ROLES ROW - not joined,
ATLS IKTI RAD,Ground,,,,NO ROLES ROW - not joined,
Apollo Medivac,Support,Support / Medical,Support,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/rsi-apollo/Apollo-Medivac
Apollo Triage,Support,Support / Medical,Support,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/rsi-apollo/Apollo-Triage
Ares Inferno,Combat,Combat / Heavy Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/crusader-ares/Ares-Inferno
Ares Ion,Combat,Combat / Heavy Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/crusader-ares/Ares-Ion
Arrastra,,Industrial / Mining / Refining,Industrial,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/arrastra/Arrastra
Arrow,Combat,Combat / Light Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/anvil-arrow/Arrow
Asgard,Combat,Combat / Dropship,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/anvil-asgard/Asgard
Aurora CL,Transporter,,,,NO ROLES ROW - not joined,
Aurora ES,Multi-Role,,,,NO ROLES ROW - not joined,
Aurora LN,Combat,,,,NO ROLES ROW - not joined,
Aurora LX,Exploration,,,,NO ROLES ROW - not joined,
Aurora MR,Combat,,,,NO ROLES ROW - not joined,
Aurora Mk II,Multi-Role,Multi-Role / Starter / Light Fighter,Multi-Role,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/aurora-mk-ii/Aurora-Mk-II
Aurora SE,Combat,,,,NO ROLES ROW - not joined,
Avenger Stalker,Combat,Combat / Interceptor,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/aegis-avenger/Avenger-Stalker
Avenger Titan,Transporter,Transporter / Light Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/aegis-avenger/Avenger-Titan
Avenger Titan Renegade,Transporter,Transporter / Light Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/aegis-avenger/Avenger-Titan-Renegade
Avenger Warlock,Combat,Combat / Interdiction,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/aegis-avenger/Avenger-Warlock
Ballista,Combat,Combat / Anti-Air,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/anvil-ballista/Ballista
Ballista Dunestalker,Combat,,,,NO ROLES ROW - not joined,
Ballista Snowblind,Combat,,,,NO ROLES ROW - not joined,
Basher,Combat,Combat / Light Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/basher/Basher
Blade,Combat,Combat / Light Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/vanduul-blade/Blade
Buccaneer,Combat,Combat / Light Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/drake-buccaneer/Buccaneer
C1 Spirit,Transporter,Transporter / Light Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/spirit/C1-Spirit
C2 Hercules Starlifter,Transporter,,,,NO ROLES ROW - not joined,
