name,hull,maker,status,career,role,image,pledge,ingame,dealers,dealer_prices,places,length,dims,crew,cargo,rsi,note,edition,hull_id,page,model,markers
100i,ORIG_100i,Origin Jumpworks,purchasable,Exploration,Exploration,True,True,True,2,2,2,True,False,True,True,True,False,False,True,True,True,True
125a,ORIG_125a,Origin Jumpworks,purchasable,Combat,Fighter,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
135c,ORIG_135c,Origin Jumpworks,purchasable,Transporter,Cargo,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
300i,ORIG_300i,Origin Jumpworks,purchasable,Exploration,Multi-role,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
315p,ORIG_315p,Origin Jumpworks,purchasable,Exploration,Exploration,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
325a,ORIG_325a,Origin Jumpworks,purchasable,Combat,Fighter,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
350r,ORIG_350r,Origin Jumpworks,purchasable,Competition,Racing,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
400i,ORIG_400i,Origin Jumpworks,purchasable,Exploration,Exploration,True,True,True,2,2,2,True,False,True,True,True,False,False,True,True,True,True
600i Explorer,ORIG_600i,Origin Jumpworks,purchasable,Exploration,Exploration,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
600i Touring,ORIG_600i_Touring,Origin Jumpworks,purchasable,Exploration,Touring/Luxury,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
85X,ORIG_85X,Origin Jumpworks,purchasable,Exploration,Touring/Luxury,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
890 Jump,ORIG_890Jump,Origin Jumpworks,purchasable,Exploration,Touring/Luxury,True,True,True,2,2,2,True,False,True,True,True,False,False,True,True,True,True
A1 Spirit,CRUS_Spirit_A1,Crusader Industries,purchasable,Combat,Bomber,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
A2 Hercules Starlifter,CRUS_Starlifter_A2,Crusader Industries,purchasable,Combat,Bomber,True,True,True,2,2,2,True,False,True,True,True,False,False,True,True,True,True
